Year,Country,GDP,Social_Support,Life_Expectancy,Freedom,Happiness_Score
2016,Moldova,0.69177,0.83132,0.52309,0.25202,5.897
2016,Russia,1.23228,1.05261,0.58991,0.32682,5.856
2016,Poland,1.24585,1.04685,0.69058,0.4519,5.835
2016,South Korea,1.35948,0.72194,0.88645,0.25168,5.835
2016,Bolivia,0.79422,0.83779,0.4697,0.50961,5.822
2016,Lithuania,1.2692,1.06411,0.64674,0.18929,5.813
2016,Belarus,1.13062,1.04993,0.63104,0.29091,5.802
2016,North Cyprus,1.31141,0.81826,0.84142,0.43596,5.771
2016,Slovenia,1.29947,1.05613,0.79151,0.53164,5.768
2016,Peru,0.99602,0.81255,0.62994,0.37502,5.743
2016,Turkmenistan,1.08017,1.03817,0.44006,0.37408,5.658
2016,Mauritius,1.14372,0.75695,0.66189,0.46145,5.648
2016,Libya,1.06688,0.95076,0.52304,0.40672,5.615
2016,Latvia,1.21788,0.95025,0.63952,0.27996,5.56
2016,Cyprus,1.31857,0.70697,0.8488,0.29507,5.546
2016,Paraguay,0.89373,1.11111,0.58295,0.46235,5.538
2016,Romania,1.1697,0.72803,0.67602,0.36712,5.528
2016,Estonia,1.27964,1.05163,0.68098,0.41511,5.517
2016,Jamaica,0.89333,0.96372,0.59469,0.43597,5.51
2016,Croatia,1.18649,0.60809,0.70524,0.23907,5.488
2016,Hong Kong,1.5107,0.87021,0.95277,0.48079,5.458
2016,Somalia,0.0,0.33613,0.11466,0.56778,5.44
2016,Kosovo,0.90145,0.66062,0.54,0.14396,5.401
2016,Turkey,1.16492,0.87717,0.64718,0.23889,5.389
2016,Indonesia,0.95104,0.87625,0.49374,0.39237,5.314
2016,Jordan,0.99673,0.86216,0.60712,0.36023,5.303
2016,Azerbaijan,1.12373,0.76042,0.54504,0.35327,5.291
2016,Philippines,0.81217,0.87877,0.47036,0.54854,5.279
2016,China,1.0278,0.79381,0.73561,0.44012,5.245
2016,Bhutan,0.8527,0.90836,0.49759,0.46074,5.196
2016,Kyrgyzstan,0.56044,0.95434,0.55449,0.40212,5.185
2016,Serbia,1.03437,0.81329,0.6458,0.15718,5.177
2016,Bosnia and Herzegovina,0.93383,0.64367,0.70766,0.09511,5.163
2016,Montenegro,1.07838,0.74173,0.63533,0.15111,5.161
2016,Dominican Republic,1.02787,0.99496,0.57669,0.52259,5.155
2016,Morocco,0.84058,0.38595,0.59471,0.25646,5.151
2016,Hungary,1.24142,0.93164,0.67608,0.1977,5.145
2016,Pakistan,0.68816,0.26135,0.40306,0.14622,5.132
2016,Lebanon,1.12268,0.64184,0.76171,0.26228,5.129
2016,Portugal,1.27607,0.94367,0.79363,0.44727,5.123
2016,Macedonia,1.0193,0.78236,0.64738,0.27668,5.121
2016,Vietnam,0.74037,0.79117,0.66157,0.55954,5.061
2016,Somaliland Region,0.25558,0.75862,0.33108,0.3913,5.057
